anio,trimestre,indicador,regimen,valor,ee,n_obs
2015,1,TCCO,tradicional,12.19,0.153,168042
2015,2,TCCO,tradicional,12.19,0.155,169457
2015,3,TCCO,tradicional,12.66,0.163,168161
2015,4,TCCO,tradicional,12.81,0.166,169392
2016,1,TCCO,tradicional,13.95,0.173,166740
2016,2,TCCO,tradicional,14.5,0.169,168615
2016,3,TCCO,tradicional,13.55,0.165,166920
2016,4,TCCO,tradicional,13.06,0.162,167112
2017,1,TCCO,tradicional,14.43,0.17,165959
2017,2,TCCO,tradicional,13.24,0.166,169722
2017,3,TCCO,tradicional,13.37,0.172,166630
2017,4,TCCO,tradicional,14.32,0.174,167947
2018,1,TCCO,tradicional,15.55,0.177,167104
2018,2,TCCO,tradicional,15.37,0.181,170060
2018,3,TCCO,tradicional,15.55,0.18,169141
2018,4,TCCO,tradicional,15.3,0.183,169782
2019,1,TCCO,tradicional,18.85,0.188,175901
2019,2,TCCO,tradicional,18.71,0.191,178329
2019,3,TCCO,tradicional,19,0.187,177816
2019,4,TCCO,tradicional,18.65,0.189,177877
2020,1,TCCO,tradicional,22.42,0.2,182969
2020,3,TCCO,enoen,23.78,0.313,119456
2020,4,TCCO,enoen,23.47,0.271,150956
2021,1,TCCO,enoen,25.8,0.281,147949
2021,2,TCCO,enoen,25.44,0.249,166309
2021,3,TCCO,enoen,24.48,0.218,186663
2021,4,TCCO,enoen,23.98,0.21,191760
2022,1,TCCO,enoen,31.8,0.241,176192
2022,2,TCCO,enoen,30.17,0.235,180969
2022,3,TCCO,enoen,29.75,0.232,178090
2022,4,TCCO,enoen,29.08,0.232,179580
2023,1,TCCO,enoe_2023,33.22,0.225,203575
2023,2,TCCO,enoe_2023,30.87,0.237,195374
2023,3,TCCO,enoe_2023,30.11,0.225,195781
2023,4,TCCO,enoe_2023,29.81,0.228,192399
2024,1,TCCO,enoe_2023,34.28,0.229,193108
2024,2,TCCO,enoe_2023,33.06,0.252,195278
2024,3,TCCO,enoe_2023,32.49,0.23,193623
2024,4,TCCO,enoe_2023,31.07,0.235,191738
2025,1,TCCO,enoe_2023,33.58,0.253,189481
2025,2,TCCO,enoe_2023,32.24,0.245,190687
2025,3,TCCO,enoe_2023,33.33,0.242,190938
2025,4,TCCO,enoe_2023,34.19,0.243,190187
2026,1,TCCO,enoe_2023,38.63,0.242,187657
2026,2,TCCO,enoe_2023,37.7,0.261,189353
2005,1,TD,tradicional,3.85,0.089,168796
2005,2,TD,tradicional,3.48,0.076,170625
2005,3,TD,tradicional,3.78,0.082,173516
2005,4,TD,tradicional,3.12,0.073,175417
2006,1,TD,tradicional,3.53,0.075,176129
2006,2,TD,tradicional,3.14,0.071,176096
2006,3,TD,tradicional,3.99,0.083,177673
2006,4,TD,tradicional,3.59,0.079,177269
2007,1,TD,tradicional,3.95,0.083,177605
2007,2,TD,tradicional,3.33,0.078,177391
2007,3,TD,tradicional,3.84,0.083,176274
2007,4,TD,tradicional,3.46,0.082,176542
2008,1,TD,tradicional,3.88,0.082,177264
2008,2,TD,tradicional,3.44,0.081,178180
2008,3,TD,tradicional,4.12,0.084,175616
2008,4,TD,tradicional,4.18,0.083,173244
2009,1,TD,tradicional,5,0.101,172360
2009,2,TD,tradicional,5.11,0.095,172398
2009,3,TD,tradicional,6.15,0.103,173850
2009,4,TD,tradicional,5.23,0.097,175065
2010,1,TD,tradicional,5.29,0.096,173487
2010,2,TD,tradicional,5.16,0.092,176965
2010,3,TD,tradicional,5.57,0.1,175491
2010,4,TD,tradicional,5.29,0.098,170968
2011,1,TD,tradicional,5.15,0.095,171034
2011,2,TD,tradicional,5.24,0.099,172853
2011,3,TD,tradicional,5.54,0.103,173609
2011,4,TD,tradicional,4.86,0.092,175576
2012,1,TD,tradicional,4.91,0.091,173943
2012,2,TD,tradicional,4.81,0.089,176853
2012,3,TD,tradicional,5.11,0.09,176558
2012,4,TD,tradicional,4.86,0.092,171571
2013,1,TD,tradicional,4.9,0.09,170098
2013,2,TD,tradicional,5.01,0.088,173259
2013,3,TD,tradicional,5.24,0.093,173215
2013,4,TD,tradicional,4.63,0.084,176936
2014,1,TD,tradicional,4.81,0.083,174770
2014,2,TD,tradicional,4.89,0.087,176595
2014,3,TD,tradicional,5.24,0.088,177253
2014,4,TD,tradicional,4.38,0.082,176789
2015,1,TD,tradicional,4.23,0.083,175666
2015,2,TD,tradicional,4.35,0.081,177224
2015,3,TD,tradicional,4.6,0.084,176482
2015,4,TD,tradicional,4.16,0.083,176622
2016,1,TD,tradicional,4.04,0.08,173637
2016,2,TD,tradicional,3.93,0.078,175581
2016,3,TD,tradicional,4.03,0.082,173949
2016,4,TD,tradicional,3.54,0.073,173426
2017,1,TD,tradicional,3.39,0.071,172008
2017,2,TD,tradicional,3.46,0.078,176174
2017,3,TD,tradicional,3.55,0.074,173133
2017,4,TD,tradicional,3.35,0.076,173931
2018,1,TD,tradicional,3.14,0.07,172873
2018,2,TD,tradicional,3.34,0.08,175988
2018,3,TD,tradicional,3.46,0.075,175681
2018,4,TD,tradicional,3.26,0.075,175738
2019,1,TD,tradicional,3.35,0.077,182205
2019,2,TD,tradicional,3.53,0.078,184981
2019,3,TD,tradicional,3.73,0.081,185002
2019,4,TD,tradicional,3.37,0.078,184134
2020,1,TD,tradicional,3.43,0.103,189489
2020,3,TD,enoen,5.15,0.131,126365
2020,4,TD,enoen,4.56,0.13,158222
2021,1,TD,enoen,4.35,0.104,154741
2021,2,TD,enoen,4.21,0.1,173544
2021,3,TD,enoen,4.24,0.086,194852
2021,4,TD,enoen,3.66,0.081,198955
2022,1,TD,enoen,3.45,0.079,182438
2022,2,TD,enoen,3.23,0.071,187178
2022,3,TD,enoen,3.43,0.076,184299
2022,4,TD,enoen,2.99,0.07,184990
2023,1,TD,enoe_2023,2.66,0.062,209318
2023,2,TD,enoe_2023,2.81,0.065,201003
2023,3,TD,enoe_2023,2.99,0.069,201807
2023,4,TD,enoe_2023,2.69,0.066,197790
2024,1,TD,enoe_2023,2.54,0.064,198163
2024,2,TD,enoe_2023,2.67,0.062,200654
2024,3,TD,enoe_2023,3,0.069,199577
2024,4,TD,enoe_2023,2.57,0.062,196792
2025,1,TD,enoe_2023,2.46,0.061,194545
2025,2,TD,enoe_2023,2.66,0.068,195970
2025,3,TD,enoe_2023,2.89,0.068,196643
2025,4,TD,enoe_2023,2.55,0.061,195119
2026,1,TD,enoe_2023,2.55,0.064,192597
2026,2,TD,enoe_2023,2.65,0.063,194557
2005,1,TIL1,tradicional,59.12,0.245,162499
2005,2,TIL1,tradicional,59.38,0.248,164852
2005,3,TIL1,tradicional,59.72,0.243,166954
2005,4,TIL1,tradicional,59.56,0.247,170012
2006,1,TIL1,tradicional,58.58,0.259,169766
2006,2,TIL1,tradicional,59.08,0.245,170456
2006,3,TIL1,tradicional,58.06,0.245,170635
2006,4,TIL1,tradicional,57.75,0.254,171164
2007,1,TIL1,tradicional,57.53,0.257,170778
2007,2,TIL1,tradicional,57.95,0.258,171553
2007,3,TIL1,tradicional,57.66,0.258,169770
2007,4,TIL1,tradicional,58.3,0.271,170666
2008,1,TIL1,tradicional,57.69,0.261,170640
2008,2,TIL1,tradicional,58.33,0.253,172087
2008,3,TIL1,tradicional,58.01,0.253,168429
2008,4,TIL1,tradicional,58.46,0.26,166075
2009,1,TIL1,tradicional,58.64,0.263,163870
2009,2,TIL1,tradicional,59.49,0.261,163618
2009,3,TIL1,tradicional,59.76,0.251,163375
2009,4,TIL1,tradicional,60.02,0.249,166013
2010,1,TIL1,tradicional,59.51,0.252,164447
2010,2,TIL1,tradicional,59.89,0.254,167900
2010,3,TIL1,tradicional,59.26,0.262,165883
2010,4,TIL1,tradicional,59.27,0.257,162020
2011,1,TIL1,tradicional,59.2,0.258,162184
2011,2,TIL1,tradicional,59.2,0.254,163948
2011,3,TIL1,tradicional,59.6,0.254,163965
2011,4,TIL1,tradicional,59.66,0.256,167141
2012,1,TIL1,tradicional,59.45,0.259,165535
2012,2,TIL1,tradicional,59.63,0.262,168445
2012,3,TIL1,tradicional,59.78,0.255,167371
2012,4,TIL1,tradicional,59.63,0.26,163221
2013,1,TIL1,tradicional,58.73,0.263,161887
2013,2,TIL1,tradicional,58.88,0.26,164543
2013,3,TIL1,tradicional,58.92,0.26,164005
2013,4,TIL1,tradicional,58.6,0.258,168486
2014,1,TIL1,tradicional,58,0.262,166166
2014,2,TIL1,tradicional,57.56,0.259,167875
2014,3,TIL1,tradicional,57.88,0.251,167705
2014,4,TIL1,tradicional,57.92,0.256,168790
2015,1,TIL1,tradicional,57.61,0.253,168042
2015,2,TIL1,tradicional,57.81,0.251,169457
2015,3,TIL1,tradicional,57.79,0.243,168161
2015,4,TIL1,tradicional,58.18,0.249,169392
2016,1,TIL1,tradicional,57.36,0.248,166740
2016,2,TIL1,tradicional,57.18,0.244,168615
2016,3,TIL1,tradicional,57.37,0.249,166920
2016,4,TIL1,tradicional,57.24,0.246,167112
2017,1,TIL1,tradicional,57.17,0.243,165959
2017,2,TIL1,tradicional,56.51,0.245,169722
2017,3,TIL1,tradicional,57.19,0.252,166630
2017,4,TIL1,tradicional,57.05,0.252,167947
2018,1,TIL1,tradicional,56.75,0.257,167104
2018,2,TIL1,tradicional,56.65,0.257,170060
2018,3,TIL1,tradicional,56.7,0.256,169141
2018,4,TIL1,tradicional,56.63,0.257,169782
2019,1,TIL1,tradicional,56.73,0.254,175901
2019,2,TIL1,tradicional,56.2,0.252,178329
2019,3,TIL1,tradicional,56.37,0.248,177816
2019,4,TIL1,tradicional,56.09,0.253,177877
2020,1,TIL1,tradicional,55.85,0.254,182969
2020,3,TIL1,enoen,54.19,0.417,119456
2020,4,TIL1,enoen,55.59,0.332,150956
2021,1,TIL1,enoen,55.07,0.343,147949
2021,2,TIL1,enoen,56.16,0.304,166309
2021,3,TIL1,enoen,56.3,0.262,186663
2021,4,TIL1,enoen,55.84,0.258,191760
2022,1,TIL1,enoen,55.24,0.271,176192
2022,2,TIL1,enoen,55.75,0.256,180969
2022,3,TIL1,enoen,55.6,0.252,178090
2022,4,TIL1,enoen,55.11,0.254,179580
2023,1,TIL1,enoe_2023,55.06,0.245,203575
2023,2,TIL1,enoe_2023,55.18,0.253,195374
2023,3,TIL1,enoe_2023,55.12,0.255,195781
2023,4,TIL1,enoe_2023,54.77,0.267,192399
2024,1,TIL1,enoe_2023,54.35,0.261,193108
2024,2,TIL1,enoe_2023,54.26,0.272,195278
2024,3,TIL1,enoe_2023,54.64,0.26,193623
2024,4,TIL1,enoe_2023,54.45,0.251,191738
2025,1,TIL1,enoe_2023,54.31,0.262,189481
2025,2,TIL1,enoe_2023,54.83,0.251,190687
2025,3,TIL1,enoe_2023,55.41,0.259,190938
2025,4,TIL1,enoe_2023,55,0.254,190187
2026,1,TIL1,enoe_2023,54.78,0.249,187657
2026,2,TIL1,enoe_2023,55.1,0.256,189353
2005,1,TIL2,tradicional,53.72,0.269,144758
2005,2,TIL2,tradicional,53.99,0.265,147062
2005,3,TIL2,tradicional,53.97,0.267,148429
2005,4,TIL2,tradicional,54.07,0.266,151882
2006,1,TIL2,tradicional,53.38,0.279,152443
2006,2,TIL2,tradicional,53.69,0.267,152913
2006,3,TIL2,tradicional,52.57,0.266,153123
2006,4,TIL2,tradicional,52.26,0.275,153329
2007,1,TIL2,tradicional,52.39,0.277,153893
2007,2,TIL2,tradicional,52.9,0.279,154696
2007,3,TIL2,tradicional,52.27,0.289,152624
2007,4,TIL2,tradicional,53.16,0.297,153354
2008,1,TIL2,tradicional,52.77,0.283,154064
2008,2,TIL2,tradicional,53.35,0.269,155071
2008,3,TIL2,tradicional,52.73,0.27,151345
2008,4,TIL2,tradicional,53.1,0.281,148787
2009,1,TIL2,tradicional,53.89,0.285,147749
2009,2,TIL2,tradicional,54.61,0.283,146917
2009,3,TIL2,tradicional,54.53,0.281,145731
2009,4,TIL2,tradicional,54.89,0.267,147904
2010,1,TIL2,tradicional,54.92,0.271,147625
2010,2,TIL2,tradicional,54.97,0.274,150101
2010,3,TIL2,tradicional,54.08,0.278,148009
2010,4,TIL2,tradicional,54.02,0.27,144198
2011,1,TIL2,tradicional,54.39,0.275,145886
2011,2,TIL2,tradicional,54.4,0.272,147142
2011,3,TIL2,tradicional,54.51,0.274,146319
2011,4,TIL2,tradicional,54.75,0.276,149470
2012,1,TIL2,tradicional,54.71,0.279,148908
2012,2,TIL2,tradicional,54.74,0.28,151118
2012,3,TIL2,tradicional,54.8,0.282,149682
2012,4,TIL2,tradicional,54.38,0.287,145403
2013,1,TIL2,tradicional,53.9,0.28,145961
2013,2,TIL2,tradicional,53.98,0.279,148333
2013,3,TIL2,tradicional,53.77,0.275,147804
2013,4,TIL2,tradicional,53.6,0.268,151995
2014,1,TIL2,tradicional,53.01,0.275,150744
2014,2,TIL2,tradicional,52.54,0.275,152151
2014,3,TIL2,tradicional,52.55,0.266,151730
2014,4,TIL2,tradicional,52.76,0.271,152791
2015,1,TIL2,tradicional,52.82,0.269,152867
2015,2,TIL2,tradicional,52.79,0.27,153846
2015,3,TIL2,tradicional,52.88,0.26,152631
2015,4,TIL2,tradicional,53.41,0.265,153595
2016,1,TIL2,tradicional,52.89,0.266,152041
2016,2,TIL2,tradicional,52.46,0.262,153614
2016,3,TIL2,tradicional,52.43,0.269,151650
2016,4,TIL2,tradicional,52.36,0.27,151581
2017,1,TIL2,tradicional,52.67,0.263,151351
2017,2,TIL2,tradicional,51.79,0.266,154827
2017,3,TIL2,tradicional,52.15,0.271,151540
2017,4,TIL2,tradicional,52.1,0.274,152472
2018,1,TIL2,tradicional,52.19,0.28,152590
2018,2,TIL2,tradicional,52.11,0.277,155390
2018,3,TIL2,tradicional,51.92,0.273,154112
2018,4,TIL2,tradicional,52.03,0.275,154712
2019,1,TIL2,tradicional,52.49,0.269,161435
2019,2,TIL2,tradicional,51.93,0.264,163748
2019,3,TIL2,tradicional,51.91,0.266,162832
2019,4,TIL2,tradicional,51.81,0.268,163296
2020,1,TIL2,tradicional,51.75,0.269,168951
2020,3,TIL2,enoen,49.21,0.44,110017
2020,4,TIL2,enoen,51.07,0.351,139487
2021,1,TIL2,enoen,50.78,0.368,136895
2021,2,TIL2,enoen,51.82,0.324,153760
2021,3,TIL2,enoen,51.82,0.275,169933
2021,4,TIL2,enoen,51.53,0.269,174850
2022,1,TIL2,enoen,51.11,0.284,162441
2022,2,TIL2,enoen,51.7,0.272,166824
2022,3,TIL2,enoen,51.2,0.268,163709
2022,4,TIL2,enoen,51.03,0.274,165425
2023,1,TIL2,enoe_2023,51.35,0.256,186788
2023,2,TIL2,enoe_2023,51.37,0.264,179394
2023,3,TIL2,enoe_2023,51.28,0.27,179759
2023,4,TIL2,enoe_2023,51,0.276,177274
2024,1,TIL2,enoe_2023,50.8,0.274,177857
2024,2,TIL2,enoe_2023,50.76,0.286,180233
2024,3,TIL2,enoe_2023,50.59,0.272,177441
2024,4,TIL2,enoe_2023,50.83,0.267,175898
2025,1,TIL2,enoe_2023,50.7,0.278,174023
2025,2,TIL2,enoe_2023,51.13,0.268,175122
2025,3,TIL2,enoe_2023,51.7,0.277,174990
2025,4,TIL2,enoe_2023,51.49,0.27,175149
2026,1,TIL2,enoe_2023,51.37,0.262,172955
2026,2,TIL2,enoe_2023,51.7,0.269,174507
2005,1,TOSI1,tradicional,28.03,0.245,162499
2005,2,TOSI1,tradicional,28.15,0.251,164852
2005,3,TOSI1,tradicional,27.97,0.255,166954
2005,4,TOSI1,tradicional,28.34,0.252,170012
2006,1,TOSI1,tradicional,27.7,0.251,169766
2006,2,TOSI1,tradicional,27.3,0.25,170456
2006,3,TOSI1,tradicional,26.83,0.244,170635
2006,4,TOSI1,tradicional,26.79,0.253,171164
2007,1,TOSI1,tradicional,27.02,0.246,170778
2007,2,TOSI1,tradicional,27.22,0.245,171553
2007,3,TOSI1,tradicional,27,0.258,169770
2007,4,TOSI1,tradicional,27.35,0.264,170666
2008,1,TOSI1,tradicional,27.55,0.262,170640
2008,2,TOSI1,tradicional,27.56,0.246,172087
2008,3,TOSI1,tradicional,27.19,0.251,168429
2008,4,TOSI1,tradicional,27.01,0.255,166075
2009,1,TOSI1,tradicional,28.09,0.253,163870
2009,2,TOSI1,tradicional,28.22,0.255,163618
2009,3,TOSI1,tradicional,28.23,0.258,163375
2009,4,TOSI1,tradicional,28.37,0.246,166013
2010,1,TOSI1,tradicional,28.41,0.256,164447
2010,2,TOSI1,tradicional,28.71,0.253,167900
2010,3,TOSI1,tradicional,27.8,0.239,165883
2010,4,TOSI1,tradicional,26.9,0.243,162020
2011,1,TOSI1,tradicional,28.24,0.243,162184
2011,2,TOSI1,tradicional,28.64,0.253,163948
2011,3,TOSI1,tradicional,28.46,0.248,163965
2011,4,TOSI1,tradicional,28.86,0.25,167141
2012,1,TOSI1,tradicional,28.78,0.249,165535
2012,2,TOSI1,tradicional,29.05,0.242,168445
2012,3,TOSI1,tradicional,29.09,0.248,167371
2012,4,TOSI1,tradicional,27.81,0.26,163221
2013,1,TOSI1,tradicional,28.62,0.253,161887
2013,2,TOSI1,tradicional,28.58,0.251,164543
2013,3,TOSI1,tradicional,28.06,0.244,164005
2013,4,TOSI1,tradicional,27.87,0.237,168486
2014,1,TOSI1,tradicional,27.82,0.243,166166
2014,2,TOSI1,tradicional,27.28,0.24,167875
2014,3,TOSI1,tradicional,27.1,0.236,167705
2014,4,TOSI1,tradicional,27.46,0.242,168790
2015,1,TOSI1,tradicional,27.13,0.242,168042
2015,2,TOSI1,tradicional,27.25,0.237,169457
2015,3,TOSI1,tradicional,27.36,0.235,168161
2015,4,TOSI1,tradicional,27.75,0.235,169392
2016,1,TOSI1,tradicional,27.07,0.232,166740
2016,2,TOSI1,tradicional,27.08,0.231,168615
2016,3,TOSI1,tradicional,27.1,0.24,166920
2016,4,TOSI1,tradicional,27.21,0.249,167112
2017,1,TOSI1,tradicional,27.29,0.233,165959
2017,2,TOSI1,tradicional,26.97,0.234,169722
2017,3,TOSI1,tradicional,26.6,0.236,166630
2017,4,TOSI1,tradicional,26.94,0.24,167947
2018,1,TOSI1,tradicional,27.27,0.239,167104
2018,2,TOSI1,tradicional,27.42,0.256,170060
2018,3,TOSI1,tradicional,27.46,0.241,169141
2018,4,TOSI1,tradicional,27.42,0.248,169782
2019,1,TOSI1,tradicional,27.76,0.244,175901
2019,2,TOSI1,tradicional,27.8,0.24,178329
2019,3,TOSI1,tradicional,27.61,0.243,177816
2019,4,TOSI1,tradicional,27.41,0.246,177877
2020,1,TOSI1,tradicional,27.52,0.245,182969
2020,3,TOSI1,enoen,26.85,0.381,119456
2020,4,TOSI1,enoen,27.85,0.306,150956
2021,1,TOSI1,enoen,28,0.314,147949
2021,2,TOSI1,enoen,28.59,0.28,166309
2021,3,TOSI1,enoen,28.67,0.238,186663
2021,4,TOSI1,enoen,28.83,0.235,191760
2022,1,TOSI1,enoen,28.31,0.244,176192
2022,2,TOSI1,enoen,28.68,0.251,180969
2022,3,TOSI1,enoen,28.18,0.244,178090
2022,4,TOSI1,enoen,28.11,0.247,179580
2023,1,TOSI1,enoe_2023,28.22,0.233,203575
2023,2,TOSI1,enoe_2023,28.26,0.24,195374
2023,3,TOSI1,enoe_2023,28.24,0.24,195781
2023,4,TOSI1,enoe_2023,28.26,0.242,192399
2024,1,TOSI1,enoe_2023,27.84,0.243,193108
2024,2,TOSI1,enoe_2023,28.13,0.253,195278
2024,3,TOSI1,enoe_2023,28.11,0.24,193623
2024,4,TOSI1,enoe_2023,28.61,0.239,191738
2025,1,TOSI1,enoe_2023,28.8,0.249,189481
2025,2,TOSI1,enoe_2023,29,0.238,190687
2025,3,TOSI1,enoe_2023,29.5,0.253,190938
2025,4,TOSI1,enoe_2023,29.48,0.245,190187
2026,1,TOSI1,enoe_2023,29.55,0.237,187657
2026,2,TOSI1,enoe_2023,30.24,0.246,189353
2005,1,TOSI2,tradicional,32.85,0.263,144758
2005,2,TOSI2,tradicional,32.98,0.272,147062
2005,3,TOSI2,tradicional,32.98,0.277,148429
2005,4,TOSI2,tradicional,33.18,0.274,151882
2006,1,TOSI2,tradicional,32.21,0.276,152443
2006,2,TOSI2,tradicional,31.83,0.268,152913
2006,3,TOSI2,tradicional,31.24,0.263,153123
2006,4,TOSI2,tradicional,31.21,0.274,153329
2007,1,TOSI2,tradicional,31.27,0.263,153893
2007,2,TOSI2,tradicional,31.48,0.259,154696
2007,3,TOSI2,tradicional,31.33,0.274,152624
2007,4,TOSI2,tradicional,31.7,0.285,153354
2008,1,TOSI2,tradicional,31.77,0.279,154064
2008,2,TOSI2,tradicional,31.82,0.264,155071
2008,3,TOSI2,tradicional,31.55,0.272,151345
2008,4,TOSI2,tradicional,31.38,0.276,148787
2009,1,TOSI2,tradicional,32.3,0.269,147749
2009,2,TOSI2,tradicional,32.6,0.267,146917
2009,3,TOSI2,tradicional,32.82,0.273,145731
2009,4,TOSI2,tradicional,33.07,0.261,147904
2010,1,TOSI2,tradicional,32.77,0.277,147625
2010,2,TOSI2,tradicional,33.3,0.274,150101
2010,3,TOSI2,tradicional,32.29,0.265,148009
2010,4,TOSI2,tradicional,31.37,0.268,144198
2011,1,TOSI2,tradicional,32.5,0.266,145886
2011,2,TOSI2,tradicional,33.04,0.271,147142
2011,3,TOSI2,tradicional,33.13,0.263,146319
2011,4,TOSI2,tradicional,33.46,0.265,149470
2012,1,TOSI2,tradicional,33.16,0.267,148908
2012,2,TOSI2,tradicional,33.55,0.26,151118
2012,3,TOSI2,tradicional,33.68,0.263,149682
2012,4,TOSI2,tradicional,32.38,0.278,145403
2013,1,TOSI2,tradicional,33,0.267,145961
2013,2,TOSI2,tradicional,32.99,0.271,148333
2013,3,TOSI2,tradicional,32.53,0.261,147804
2013,4,TOSI2,tradicional,32.32,0.255,151995
2014,1,TOSI2,tradicional,32.12,0.26,150744
2014,2,TOSI2,tradicional,31.55,0.26,152151
2014,3,TOSI2,tradicional,31.48,0.255,151730
2014,4,TOSI2,tradicional,31.84,0.262,152791
2015,1,TOSI2,tradicional,31.21,0.26,152867
2015,2,TOSI2,tradicional,31.49,0.255,153846
2015,3,TOSI2,tradicional,31.59,0.25,152631
2015,4,TOSI2,tradicional,32.04,0.254,153595
2016,1,TOSI2,tradicional,30.99,0.248,152041
2016,2,TOSI2,tradicional,31.08,0.248,153614
2016,3,TOSI2,tradicional,31.23,0.255,151650
2016,4,TOSI2,tradicional,31.37,0.263,151581
2017,1,TOSI2,tradicional,31.23,0.245,151351
2017,2,TOSI2,tradicional,30.94,0.248,154827
2017,3,TOSI2,tradicional,30.66,0.255,151540
2017,4,TOSI2,tradicional,31.09,0.258,152472
2018,1,TOSI2,tradicional,31.24,0.257,152590
2018,2,TOSI2,tradicional,31.33,0.274,155390
2018,3,TOSI2,tradicional,31.54,0.259,154112
2018,4,TOSI2,tradicional,31.4,0.266,154712
2019,1,TOSI2,tradicional,31.54,0.26,161435
2019,2,TOSI2,tradicional,31.62,0.257,163748
2019,3,TOSI2,tradicional,31.56,0.254,162832
2019,4,TOSI2,tradicional,31.24,0.256,163296
2020,1,TOSI2,tradicional,31.16,0.257,168951
2020,3,TOSI2,enoen,30.81,0.413,110017
2020,4,TOSI2,enoen,31.84,0.328,139487
2021,1,TOSI2,enoen,31.88,0.331,136895
2021,2,TOSI2,enoen,32.62,0.299,153760
2021,3,TOSI2,enoen,32.74,0.254,169933
2021,4,TOSI2,enoen,32.77,0.251,174850
2022,1,TOSI2,enoen,32.01,0.259,162441
2022,2,TOSI2,enoen,32.49,0.262,166824
2022,3,TOSI2,enoen,32.12,0.258,163709
2022,4,TOSI2,enoen,31.86,0.263,165425
2023,1,TOSI2,enoe_2023,31.78,0.248,186788
2023,2,TOSI2,enoe_2023,31.84,0.255,179394
2023,3,TOSI2,enoe_2023,31.85,0.254,179759
2023,4,TOSI2,enoe_2023,31.7,0.258,177274
2024,1,TOSI2,enoe_2023,31.2,0.256,177857
2024,2,TOSI2,enoe_2023,31.44,0.269,180233
2024,3,TOSI2,enoe_2023,31.76,0.253,177441
2024,4,TOSI2,enoe_2023,31.97,0.249,175898
2025,1,TOSI2,enoe_2023,32.14,0.26,174023
2025,2,TOSI2,enoe_2023,32.44,0.25,175122
2025,3,TOSI2,enoe_2023,33.1,0.262,174990
2025,4,TOSI2,enoe_2023,32.91,0.256,175149
2026,1,TOSI2,enoe_2023,32.93,0.248,172955
2026,2,TOSI2,enoe_2023,33.7,0.26,174507
2005,1,TPEA,tradicional,58.98,0.149,283547
2005,2,TPEA,tradicional,58.88,0.172,285678
2005,3,TPEA,tradicional,59.74,0.147,287724
2005,4,TPEA,tradicional,59.7,0.15,290701
2006,1,TPEA,tradicional,59.64,0.155,293303
2006,2,TPEA,tradicional,59.83,0.154,291784
2006,3,TPEA,tradicional,60.54,0.152,291842
2006,4,TPEA,tradicional,60.51,0.155,291415
2007,1,TPEA,tradicional,59.75,0.151,293664
2007,2,TPEA,tradicional,59.93,0.154,292452
2007,3,TPEA,tradicional,59.89,0.152,290675
2007,4,TPEA,tradicional,60.87,0.16,285530
2008,1,TPEA,tradicional,59.96,0.155,291436
2008,2,TPEA,tradicional,60.36,0.156,290576
2008,3,TPEA,tradicional,60.06,0.16,286917
2008,4,TPEA,tradicional,59.44,0.157,285914
2009,1,TPEA,tradicional,59.14,0.154,287149
2009,2,TPEA,tradicional,59.35,0.158,286082
2009,3,TPEA,tradicional,60.59,0.157,284461
2009,4,TPEA,tradicional,60.53,0.157,286565
2010,1,TPEA,tradicional,59.33,0.154,288614
2010,2,TPEA,tradicional,60.29,0.157,290111
2010,3,TPEA,tradicional,60.13,0.154,288234
