anio,trimestre,indicador,oficial,pipeline,diferencia_pp,nota_clave
2006,3,TOSI2,31.23,31.24,0.008,
2006,3,TPEA,60.51,60.54,0.033,
2006,3,TSUB,8.24,8.24,0.001,
2006,4,TCCO,11.86,11.83,0.029,
2006,4,TD,3.59,3.59,0,
2006,4,TIL1,57.83,57.75,0.075,
2006,4,TIL2,52.24,52.26,0.016,
2006,4,TOSI1,26.72,26.79,0.071,
2006,4,TOSI2,31.19,31.21,0.018,
2006,4,TPEA,60.47,60.51,0.036,
2006,4,TSUB,7.06,7.06,0.002,
2007,1,TCCO,11.58,11.56,0.02,
2007,1,TD,3.95,3.95,0.003,
2007,1,TIL1,57.59,57.53,0.064,
2007,1,TIL2,52.37,52.39,0.016,
2007,1,TOSI1,26.97,27.02,0.051,
2007,1,TOSI2,31.27,31.27,0.002,
2007,1,TPEA,59.72,59.75,0.026,
2007,1,TSUB,7.77,7.78,0.007,
2007,2,TCCO,11,10.97,0.025,
2007,2,TD,3.33,3.33,0,
2007,2,TIL1,58.01,57.95,0.06,
2007,2,TIL2,52.89,52.9,0.008,
2007,2,TOSI1,27.18,27.22,0.037,
2007,2,TOSI2,31.49,31.48,0.008,
2007,2,TPEA,59.9,59.93,0.029,
2007,2,TSUB,6.98,6.97,0.007,
2007,3,TCCO,11.32,11.31,0.009,
2007,3,TD,3.84,3.84,0.001,
2007,3,TIL1,57.69,57.66,0.028,
2007,3,TIL2,52.24,52.27,0.028,
2007,3,TOSI1,26.95,27,0.055,
2007,3,TOSI2,31.31,31.33,0.016,
2007,3,TPEA,59.88,59.89,0.014,
2007,3,TSUB,6.96,6.95,0.007,
2007,4,TCCO,10.93,10.92,0.011,
2007,4,TD,3.46,3.46,0.004,
2007,4,TIL1,58.32,58.3,0.02,
2007,4,TIL2,53.13,53.16,0.031,
2007,4,TOSI1,27.33,27.35,0.024,
2007,4,TOSI2,31.7,31.7,0.001,
2007,4,TPEA,60.87,60.87,0.004,
2007,4,TSUB,7.17,7.17,0,
2008,1,TCCO,10.47,10.47,0.002,
2008,1,TD,3.88,3.88,0.004,
2008,1,TIL1,57.69,57.69,0,
2008,1,TIL2,52.73,52.77,0.042,
2008,1,TOSI1,27.54,27.55,0.011,
2008,1,TOSI2,31.78,31.77,0.014,
2008,1,TPEA,59.95,59.96,0.01,
2008,1,TSUB,6.67,6.67,0.003,
2008,2,TCCO,10.7,10.68,0.023,
2008,2,TD,3.44,3.44,0,
2008,2,TIL1,58.34,58.33,0.005,
2008,2,TIL2,53.32,53.35,0.034,
2008,2,TOSI1,27.55,27.56,0.006,
2008,2,TOSI2,31.83,31.82,0.006,
2008,2,TPEA,60.32,60.36,0.039,
2008,2,TSUB,6.9,6.92,0.023,
2008,3,TCCO,10.52,10.5,0.02,
2008,3,TD,4.12,4.12,0.004,
2008,3,TIL1,58.02,58.01,0.008,
2008,3,TIL2,52.72,52.73,0.007,
2008,3,TOSI1,27.2,27.19,0.006,
2008,3,TOSI2,31.56,31.55,0.008,
2008,3,TPEA,60.04,60.06,0.016,
2008,3,TSUB,6.82,6.82,0.004,
2008,4,TCCO,10.58,10.59,0.011,
2008,4,TD,4.19,4.18,0.011,
2008,4,TIL1,58.45,58.46,0.01,
2008,4,TIL2,53.08,53.1,0.022,
2008,4,TOSI1,27.02,27.01,0.007,
2008,4,TOSI2,31.39,31.38,0.01,
2008,4,TPEA,59.43,59.44,0.007,
2008,4,TSUB,7.17,7.19,0.017,
2009,1,TCCO,12.21,12.22,0.012,
2009,1,TD,5,5,0.004,
2009,1,TIL1,58.6,58.64,0.039,
2009,1,TIL2,53.85,53.89,0.04,
2009,1,TOSI1,28.09,28.09,0.001,
2009,1,TOSI2,32.28,32.3,0.017,
2009,1,TPEA,59.13,59.14,0.007,
2009,1,TSUB,8,8.01,0.01,
2009,2,TCCO,12.88,12.89,0.006,
2009,2,TD,5.11,5.11,0.004,
2009,2,TIL1,59.43,59.49,0.056,
2009,2,TIL2,54.57,54.61,0.041,
2009,2,TOSI1,28.22,28.22,0.005,
2009,2,TOSI2,32.57,32.6,0.03,
2009,2,TPEA,59.35,59.35,0,
2009,2,TSUB,11.15,11.15,0.003,
2009,3,TCCO,12.39,12.41,0.02,
2009,3,TD,6.15,6.15,0.002,
2009,3,TIL1,59.69,59.76,0.069,
2009,3,TIL2,54.49,54.53,0.042,
2009,3,TOSI1,28.23,28.23,0.003,
2009,3,TOSI2,32.79,32.82,0.029,
2009,3,TPEA,60.6,60.59,0.007,
2009,3,TSUB,8.76,8.77,0.009,
2009,4,TCCO,12.09,12.11,0.015,
2009,4,TD,5.24,5.23,0.008,
2009,4,TIL1,59.93,60.02,0.091,
2009,4,TIL2,54.83,54.89,0.058,
2009,4,TOSI1,28.37,28.37,0,
2009,4,TOSI2,33.01,33.07,0.056,
2009,4,TPEA,60.54,60.53,0.008,
2009,4,TSUB,8.84,8.84,0.002,
2010,1,TCCO,12.33,12.34,0.013,
2010,1,TD,5.3,5.29,0.012,
2010,1,TIL1,59.5,59.51,0.01,
2010,1,TIL2,54.93,54.92,0.006,
2010,1,TOSI1,28.43,28.41,0.022,
2010,1,TOSI2,32.76,32.77,0.008,
2010,1,TPEA,59.34,59.33,0.006,
2010,1,TSUB,9.43,9.39,0.041,
2010,2,TCCO,12.02,12.04,0.022,
2010,2,TD,5.17,5.16,0.015,
2010,2,TIL1,59.77,59.89,0.117,
2010,2,TIL2,54.87,54.97,0.098,
2010,2,TOSI1,28.68,28.71,0.028,
2010,2,TOSI2,33.21,33.3,0.093,
2010,2,TPEA,60.32,60.29,0.034,
2010,2,TSUB,8.96,8.96,0.002,
2010,3,TCCO,11.59,11.59,0.003,
2010,3,TD,5.57,5.57,0.003,
2010,3,TIL1,59.13,59.26,0.127,
2010,3,TIL2,53.99,54.08,0.089,
2010,3,TOSI1,27.82,27.8,0.016,
2010,3,TOSI2,32.26,32.29,0.031,
2010,3,TPEA,60.16,60.13,0.034,
2010,3,TSUB,8.61,8.59,0.017,
2010,4,TCCO,11.92,11.96,0.04,
2010,4,TD,5.29,5.29,0.002,
2010,4,TIL1,59.13,59.27,0.137,
2010,4,TIL2,53.93,54.02,0.093,
2010,4,TOSI1,26.9,26.9,0.002,
2010,4,TOSI2,31.29,31.37,0.078,
2010,4,TPEA,58.98,58.96,0.024,
2010,4,TSUB,7.6,7.59,0.008,
2011,1,TCCO,11.95,11.98,0.034,
2011,1,TD,5.16,5.15,0.011,
2011,1,TIL1,59.07,59.2,0.128,
2011,1,TIL2,54.31,54.39,0.083,
2011,1,TOSI1,28.24,28.24,0.003,
2011,1,TOSI2,32.43,32.5,0.068,
2011,1,TPEA,58.73,58.7,0.034,
2011,1,TSUB,8.16,8.16,0.003,
2011,2,TCCO,11.09,11.12,0.026,
2011,2,TD,5.24,5.24,0.002,
2011,2,TIL1,59.08,59.2,0.123,
2011,2,TIL2,54.33,54.4,0.074,
2011,2,TOSI1,28.64,28.64,0.001,
2011,2,TOSI2,32.98,33.04,0.062,
2011,2,TPEA,59.64,59.62,0.023,
2011,2,TSUB,8.32,8.32,0.001,
2011,3,TCCO,11.15,11.18,0.03,
2011,3,TD,5.55,5.54,0.007,
2011,3,TIL1,59.47,59.6,0.128,
2011,3,TIL2,54.42,54.51,0.086,
2011,3,TOSI1,28.46,28.46,0.003,
2011,3,TOSI2,33.06,33.13,0.072,
2011,3,TPEA,60.15,60.11,0.041,
2011,3,TSUB,8.89,8.92,0.025,
2011,4,TCCO,10.93,10.97,0.038,
2011,4,TD,4.86,4.86,0.003,
2011,4,TIL1,59.53,59.66,0.126,
2011,4,TIL2,54.67,54.75,0.083,
2011,4,TOSI1,28.87,28.86,0.006,
2011,4,TOSI2,33.4,33.46,0.064,
2011,4,TPEA,60.65,60.63,0.017,
2011,4,TSUB,8.92,8.94,0.019,
2012,1,TCCO,12.12,12.15,0.026,
2012,1,TD,4.92,4.91,0.007,
2012,1,TIL1,59.33,59.45,0.122,
2012,1,TIL2,54.64,54.71,0.073,
2012,1,TOSI1,28.78,28.78,0.003,
2012,1,TOSI2,33.09,33.16,0.069,
2012,1,TPEA,59.66,59.63,0.026,
2012,1,TSUB,8.57,8.57,0,
2012,2,TCCO,11.62,11.65,0.033,
2012,2,TD,4.82,4.81,0.005,
2012,2,TIL1,59.51,59.63,0.118,
2012,2,TIL2,54.67,54.74,0.074,
2012,2,TOSI1,29.05,29.05,0.003,
2012,2,TOSI2,33.49,33.55,0.064,
2012,2,TPEA,60.9,60.87,0.025,
2012,2,TSUB,8.87,8.88,0.009,
2012,3,TCCO,11.87,11.9,0.031,
2012,3,TD,5.11,5.11,0.001,
2012,3,TIL1,59.67,59.78,0.111,
2012,3,TIL2,54.73,54.8,0.07,
2012,3,TOSI1,29.08,29.09,0.005,
2012,3,TOSI2,33.62,33.68,0.06,
2012,3,TPEA,61.12,61.09,0.033,
2012,3,TSUB,8.68,8.7,0.018,
2012,4,TCCO,11.61,11.64,0.034,
2012,4,TD,4.87,4.86,0.01,
2012,4,TIL1,59.5,59.63,0.125,
2012,4,TIL2,54.31,54.38,0.07,
2012,4,TOSI1,27.81,27.81,0,
2012,4,TOSI2,32.31,32.38,0.073,
2012,4,TPEA,60.15,60.13,0.02,
2012,4,TSUB,8,8.01,0.014,
2013,1,TCCO,11.77,11.8,0.031,
2013,1,TD,4.91,4.9,0.008,
2013,1,TIL1,58.61,58.73,0.118,
2013,1,TIL2,53.83,53.9,0.071,
2013,1,TOSI1,28.62,28.62,0,
2013,1,TOSI2,32.93,33,0.069,
2013,1,TPEA,59.39,59.35,0.036,
2013,1,TSUB,8.19,8.2,0.01,
2013,2,TCCO,12,12.05,0.048,
2013,2,TD,5.01,5.01,0.005,
2013,2,TIL1,58.77,58.88,0.11,
2013,2,TIL2,53.92,53.98,0.062,
2013,2,TOSI1,28.58,28.58,0.002,
2013,2,TOSI2,32.93,32.99,0.064,
2013,2,TPEA,60.55,60.51,0.036,
2013,2,TSUB,8.54,8.55,0.015,
2013,3,TCCO,12.11,12.17,0.062,
2013,3,TD,5.24,5.24,0.003,
2013,3,TIL1,58.81,58.92,0.108,
2013,3,TIL2,53.71,53.77,0.055,
2013,3,TOSI1,28.06,28.06,0.001,
2013,3,TOSI2,32.46,32.53,0.071,
2013,3,TPEA,60.56,60.51,0.047,
2013,3,TSUB,8.48,8.5,0.019,
2013,4,TCCO,11.88,11.93,0.053,
2013,4,TD,4.64,4.63,0.007,
2013,4,TIL1,58.48,58.6,0.124,
2013,4,TIL2,53.53,53.6,0.071,
2013,4,TOSI1,27.87,27.87,0.004,
2013,4,TOSI2,32.25,32.32,0.073,
2013,4,TPEA,60.84,60.81,0.029,
2013,4,TSUB,8.18,8.2,0.022,
2014,1,TCCO,11.64,11.71,0.066,
2014,1,TD,4.82,4.81,0.007,
2014,1,TIL1,57.88,58,0.122,
2014,1,TIL2,52.94,53.01,0.072,
2014,1,TOSI1,27.83,27.82,0.007,
2014,1,TOSI2,32.06,32.12,0.057,
2014,1,TPEA,59.8,59.76,0.036,
2014,1,TSUB,8.32,8.34,0.019,
2014,2,TCCO,11.39,11.45,0.057,
2014,2,TD,4.9,4.89,0.011,
2014,2,TIL1,57.43,57.56,0.127,
2014,2,TIL2,52.46,52.54,0.079,
2014,2,TOSI1,27.28,27.28,0.003,
2014,2,TOSI2,31.49,31.55,0.059,
2014,2,TPEA,59.92,59.87,0.049,
2014,2,TSUB,8.14,8.17,0.029,
2014,3,TCCO,11.69,11.74,0.05,
2014,3,TD,5.26,5.24,0.017,
2014,3,TIL1,57.74,57.88,0.137,
2014,3,TIL2,52.46,52.55,0.091,
2014,3,TOSI1,27.1,27.1,0.004,
2014,3,TOSI2,31.41,31.48,0.073,
2014,3,TPEA,59.99,59.94,0.055,
2014,3,TSUB,8.09,8.11,0.019,
2014,4,TCCO,11.99,12.05,0.058,
2014,4,TD,4.39,4.38,0.01,
2014,4,TIL1,57.77,57.92,0.147,
2014,4,TIL2,52.66,52.76,0.104,
2014,4,TOSI1,27.45,27.46,0.012,
2014,4,TOSI2,31.76,31.84,0.079,
2014,4,TPEA,59.59,59.54,0.048,
2014,4,TSUB,7.94,7.98,0.043,
2015,1,TCCO,12.13,12.19,0.056,
2015,1,TD,4.24,4.23,0.007,
2015,1,TIL1,57.48,57.61,0.128,
2015,1,TIL2,52.74,52.82,0.08,
2015,1,TOSI1,27.13,27.13,0.001,
2015,1,TOSI2,31.14,31.21,0.07,
2015,1,TPEA,59.22,59.18,0.039,
2015,1,TSUB,8.06,8.06,0.004,
2015,2,TCCO,12.13,12.19,0.06,
2015,2,TD,4.35,4.35,0.002,
2015,2,TIL1,57.68,57.81,0.13,
2015,2,TIL2,52.71,52.79,0.083,
2015,2,TOSI1,27.25,27.25,0.002,
2015,2,TOSI2,31.42,31.49,0.072,
2015,2,TPEA,59.72,59.67,0.052,
2015,2,TSUB,8.28,8.3,0.024,
2015,3,TCCO,12.59,12.66,0.074,
2015,3,TD,4.59,4.6,0.009,
2015,3,TIL1,57.65,57.79,0.139,
2015,3,TIL2,52.79,52.88,0.095,
2015,3,TOSI1,27.36,27.36,0,
2015,3,TOSI2,31.52,31.59,0.073,
2015,3,TPEA,60.02,59.96,0.059,
2015,3,TSUB,8.52,8.55,0.03,
2015,4,TCCO,12.74,12.81,0.07,
2015,4,TD,4.16,4.16,0.002,
2015,4,TIL1,58.04,58.18,0.137,
2015,4,TIL2,53.31,53.41,0.096,
2015,4,TOSI1,27.77,27.75,0.022,
2015,4,TOSI2,31.98,32.04,0.059,
2015,4,TPEA,60.48,60.42,0.064,
2015,4,TSUB,8.52,8.57,0.047,
2016,1,TCCO,13.89,13.95,0.057,
2016,1,TD,4.05,4.04,0.011,
2016,1,TIL1,57.21,57.36,0.145,
2016,1,TIL2,52.79,52.89,0.096,
2016,1,TOSI1,27.08,27.07,0.012,
2016,1,TOSI2,30.93,30.99,0.062,
2016,1,TPEA,59.28,59.21,0.069,
2016,1,TSUB,7.9,7.95,0.046,
2016,2,TCCO,14.43,14.5,0.067,
2016,2,TD,3.92,3.93,0.007,
2016,2,TIL1,57.01,57.18,0.17,
2016,2,TIL2,52.33,52.46,0.131,
2016,2,TOSI1,27.06,27.08,0.016,
2016,2,TOSI2,30.98,31.08,0.1,
2016,2,TPEA,59.69,59.64,0.053,
2016,2,TSUB,7.84,7.91,0.067,
2016,3,TCCO,13.49,13.55,0.061,
2016,3,TD,4.01,4.03,0.017,
2016,3,TIL1,57.2,57.37,0.167,
2016,3,TIL2,52.3,52.43,0.125,
2016,3,TOSI1,27.07,27.1,0.027,
2016,3,TOSI2,31.12,31.23,0.109,
2016,3,TPEA,60.26,60.19,0.074,
2016,3,TSUB,7.7,7.75,0.054,
2016,4,TCCO,13.01,13.06,0.049,
2016,4,TD,3.53,3.54,0.009,
2016,4,TIL1,57.11,57.24,0.131,
2016,4,TIL2,52.28,52.36,0.079,
2016,4,TOSI1,27.2,27.21,0.011,
2016,4,TOSI2,31.29,31.37,0.08,
2016,4,TPEA,59.8,59.72,0.076,
2016,4,TSUB,7.01,7.06,0.054,
2017,1,TCCO,14.37,14.43,0.059,
2017,1,TD,3.39,3.39,0,
2017,1,TIL1,57.05,57.17,0.125,
2017,1,TIL2,52.58,52.67,0.089,
2017,1,TOSI1,27.29,27.29,0.002,
2017,1,TOSI2,31.15,31.23,0.077,
2017,1,TPEA,59.29,59.22,0.071,
2017,1,TSUB,7.11,7.14,0.031,
2017,2,TCCO,13.17,13.24,0.067,
2017,2,TD,3.46,3.46,0.003,
2017,2,TIL1,56.37,56.51,0.141,
2017,2,TIL2,51.71,51.79,0.079,
2017,2,TOSI1,26.96,26.97,0.015,
2017,2,TOSI2,30.85,30.94,0.09,
2017,2,TPEA,59.42,59.34,0.076,
2017,2,TSUB,7.16,7.23,0.069,
2017,3,TCCO,13.29,13.37,0.076,
2017,3,TD,3.55,3.55,0.001,
2017,3,TIL1,57.02,57.19,0.169,
2017,3,TIL2,52.04,52.15,0.113,
2017,3,TOSI1,26.59,26.6,0.013,
2017,3,TOSI2,30.58,30.66,0.076,
2017,3,TPEA,59.5,59.41,0.093,
2017,3,TSUB,6.97,7.03,0.055,
2017,4,TCCO,14.25,14.32,0.074,
2017,4,TD,3.35,3.35,0.001,
2017,4,TIL1,56.88,57.05,0.174,
2017,4,TIL2,51.99,52.1,0.112,
2017,4,TOSI1,26.91,26.94,0.026,
2017,4,TOSI2,30.98,31.09,0.105,
2017,4,TPEA,59.51,59.42,0.089,
2017,4,TSUB,6.77,6.83,0.062,
2018,1,TCCO,15.45,15.55,0.098,
2018,1,TD,3.12,3.14,0.019,
2018,1,TIL1,56.57,56.75,0.18,
2018,1,TIL2,52.06,52.19,0.135,
2018,1,TOSI1,27.24,27.27,0.03,
2018,1,TOSI2,31.13,31.24,0.107,
2018,1,TPEA,59.02,58.95,0.071,
2018,1,TSUB,6.68,6.76,0.077,
2018,2,TCCO,15.24,15.37,0.13,
2018,2,TD,3.33,3.34,0.007,
2018,2,TIL1,56.5,56.65,0.152,
2018,2,TIL2,52.01,52.11,0.101,
2018,2,TOSI1,27.37,27.42,0.05,
2018,2,TOSI2,31.21,31.33,0.123,
2018,2,TPEA,59.86,59.79,0.074,
2018,2,TSUB,7.02,7.12,0.099,
2018,3,TCCO,15.46,15.55,0.086,
2018,3,TD,3.44,3.46,0.016,
2018,3,TIL1,56.55,56.7,0.153,
2018,3,TIL2,51.8,51.92,0.117,
2018,3,TOSI1,27.41,27.46,0.05,
2018,3,TOSI2,31.42,31.54,0.117,
2018,3,TPEA,59.89,59.82,0.07,
2018,3,TSUB,6.99,7.09,0.101,
2018,4,TCCO,15.18,15.3,0.12,
2018,4,TD,3.27,3.26,0.006,
2018,4,TIL1,56.49,56.63,0.144,
2018,4,TIL2,51.92,52.03,0.105,
2018,4,TOSI1,27.39,27.42,0.032,
2018,4,TOSI2,31.3,31.4,0.102,
2018,4,TPEA,59.78,59.7,0.079,
2018,4,TSUB,6.69,6.79,0.096,
2019,1,TCCO,18.85,18.85,0.003,
2019,1,TD,3.35,3.35,0.003,
2019,1,TIL1,56.73,56.73,0.005,
2019,1,TIL2,52.49,52.49,0.003,
2019,1,TOSI1,27.76,27.76,0.003,
2019,1,TOSI2,31.54,31.54,0.004,
2019,1,TPEA,59.53,59.53,0.005,
2019,1,TSUB,6.72,6.72,0.001,
2019,2,TCCO,18.71,18.71,0.003,
2019,2,TD,3.53,3.53,0.003,
2019,2,TIL1,56.2,56.2,0.001,
2019,2,TIL2,51.93,51.93,0.003,
2019,2,TOSI1,27.8,27.8,0.001,
2019,2,TOSI2,31.62,31.62,0,
2019,2,TPEA,60.27,60.27,0.001,
2019,2,TSUB,7.64,7.64,0.003,
2019,3,TCCO,19,19,0.005,
2019,3,TD,3.73,3.73,0.004,
2019,3,TIL1,56.37,56.37,0.003,
2019,3,TIL2,51.91,51.91,0.004,
2019,3,TOSI1,27.61,27.61,0.002,
2019,3,TOSI2,31.56,31.56,0,
2019,3,TPEA,60.48,60.48,0.004,
2019,3,TSUB,7.77,7.77,0.001,
2019,4,TCCO,18.65,18.65,0.003,
2019,4,TD,3.37,3.37,0.004,
2019,4,TIL1,56.09,56.09,0.002,
2019,4,TIL2,51.81,51.81,0.004,
2019,4,TOSI1,27.41,27.41,0.004,
2019,4,TOSI2,31.24,31.24,0,
2019,4,TPEA,60.46,60.46,0.003,
2019,4,TSUB,7.62,7.62,0.005,
2020,1,TCCO,22.42,22.42,0.002,
2020,1,TD,3.43,3.43,0.002,
2020,1,TIL1,55.85,55.85,0.002,
2020,1,TIL2,51.75,51.75,0.001,
2020,1,TOSI1,27.52,27.52,0.005,
2020,1,TOSI2,31.16,31.16,0.003,
2020,1,TPEA,59.92,59.92,0,
2020,1,TSUB,8.4,8.4,0.004,
2020,3,TCCO,23.78,23.78,0.003,
2020,3,TD,5.15,5.15,0.004,
2020,3,TIL1,54.19,54.19,0.001,
2020,3,TIL2,49.21,49.21,0.003,
2020,3,TOSI1,26.85,26.85,0.005,
2020,3,TOSI2,30.81,30.81,0.001,
2020,3,TPEA,55.61,55.61,0.003,
2020,3,TSUB,16.94,16.94,0,
2020,4,TCCO,23.37,23.47,0.099,
2020,4,TD,4.54,4.56,0.015,
2020,4,TIL1,55.44,55.59,0.155,
2020,4,TIL2,50.95,51.07,0.124,
2020,4,TOSI1,27.8,27.85,0.048,
2020,4,TOSI2,31.72,31.84,0.12,
2020,4,TPEA,57.59,57.49,0.098,
2020,4,TSUB,15.18,15.26,0.081,
2021,1,TCCO,25.8,25.8,0.001,
2021,1,TD,4.35,4.35,0.005,
2021,1,TIL1,55.07,55.07,0.004,
2021,1,TIL2,50.78,50.78,0.001,
2021,1,TOSI1,28,28,0.002,
2021,1,TOSI2,31.88,31.88,0.001,
2021,1,TPEA,57.13,57.13,0.003,
2021,1,TSUB,13.82,13.82,0.001,
2021,2,TCCO,25.44,25.44,0.002,
2021,2,TD,4.21,4.21,0.004,
2021,2,TIL1,56.16,56.16,0.001,
2021,2,TIL2,51.82,51.82,0.004,
2021,2,TOSI1,28.59,28.59,0.001,
2021,2,TOSI2,32.62,32.62,0.003,
2021,2,TPEA,59.05,59.05,0.002,
2021,2,TSUB,13.27,13.27,0.003,
2021,3,TCCO,24.48,24.48,0.003,
2021,3,TD,4.24,4.24,0.002,
2021,3,TIL1,56.3,56.3,0.003,
2021,3,TIL2,51.82,51.82,0.004,
2021,3,TOSI1,28.67,28.67,0.001,
2021,3,TOSI2,32.74,32.74,0.003,
2021,3,TPEA,59.43,59.43,0.004,
2021,3,TSUB,12.92,12.92,0.001,
2021,4,TCCO,23.98,23.98,0.004,
2021,4,TD,3.66,3.66,0,
2021,4,TIL1,55.84,55.84,0.004,
2021,4,TIL2,51.53,51.53,0.003,
2021,4,TOSI1,28.83,28.83,0.001,
2021,4,TOSI2,32.77,32.77,0.001,
2021,4,TPEA,59.67,59.67,0.004,
2021,4,TSUB,10.61,10.61,0.001,
2022,1,TCCO,31.8,31.8,0.005,
2022,1,TD,3.45,3.45,0.004,
2022,1,TIL1,55.24,55.24,0.003,
2022,1,TIL2,51.11,51.11,0,
2022,1,TOSI1,28.31,28.31,0.002,
2022,1,TOSI2,32.01,32.01,0.003,
2022,1,TPEA,58.74,58.74,0.003,
2022,1,TSUB,8.95,8.95,0.004,
2022,2,TCCO,30.17,30.17,0.005,
2022,2,TD,3.23,3.23,0.002,
2022,2,TIL1,55.75,55.75,0.005,
2022,2,TIL2,51.7,51.7,0.004,
2022,2,TOSI1,28.68,28.68,0.003,
2022,2,TOSI2,32.49,32.49,0.004,
2022,2,TPEA,59.9,59.9,0.001,
2022,2,TSUB,8.86,8.86,0.002,
2022,3,TCCO,29.75,29.75,0.004,
2022,3,TD,3.43,3.43,0,
2022,3,TIL1,55.6,55.6,0.005,
2022,3,TIL2,51.2,51.2,0.002,
2022,3,TOSI1,28.18,28.18,0.002,
2022,3,TOSI2,32.12,32.12,0.001,
2022,3,TPEA,59.94,59.94,0.003,
2022,3,TSUB,8.05,8.05,0.003,
2022,4,TCCO,29.08,29.08,0.004,
2022,4,TD,2.99,2.99,0.004,
2022,4,TIL1,55.11,55.11,0.002,
2022,4,TIL2,51.03,51.03,0.001,
2022,4,TOSI1,28.11,28.11,0,
2022,4,TOSI2,31.86,31.86,0.002,
2022,4,TPEA,60.44,60.44,0.002,
2022,4,TSUB,7.46,7.46,0.004,
2023,1,TCCO,33.22,33.22,0.003,
2023,1,TD,2.66,2.66,0.002,
2023,1,TIL1,55.06,55.06,0.004,
2023,1,TIL2,51.35,51.35,0.002,
2023,1,TOSI1,28.22,28.22,0,
2023,1,TOSI2,31.78,31.78,0.004,
2023,1,TPEA,60.24,60.24,0.001,
2023,1,TSUB,7.27,7.27,0.005,
2023,2,TCCO,30.87,30.87,0.001,
2023,2,TD,2.81,2.81,0.004,
2023,2,TIL1,55.18,55.18,0.002,
2023,2,TIL2,51.37,51.37,0.005,
2023,2,TOSI1,28.26,28.26,0.005,
2023,2,TOSI2,31.84,31.84,0.001,
2023,2,TPEA,60.19,60.19,0.004,
2023,2,TSUB,8.03,8.03,0.003,
2023,3,TCCO,30.11,30.11,0.004,
2023,3,TD,2.99,2.99,0.002,
2023,3,TIL1,55.12,55.12,0.001,
2023,3,TIL2,51.28,51.28,0.004,
2023,3,TOSI1,28.24,28.24,0.002,
2023,3,TOSI2,31.85,31.85,0.002,
2023,3,TPEA,60.63,60.63,0,
2023,3,TSUB,7.97,7.97,0.003,
2023,4,TCCO,29.81,29.81,0.001,
2023,4,TD,2.69,2.69,0.005,
2023,4,TIL1,54.77,54.77,0.003,
2023,4,TIL2,51,51,0.004,
2023,4,TOSI1,28.26,28.26,0.004,
2023,4,TOSI2,31.7,31.7,0.001,
2023,4,TPEA,60.53,60.53,0.005,
2023,4,TSUB,7.82,7.82,0,
2024,1,TCCO,34.28,34.28,0.003,
2024,1,TD,2.54,2.54,0.002,
2024,1,TIL1,54.35,54.35,0.003,
2024,1,TIL2,50.8,50.8,0.003,
2024,1,TOSI1,27.84,27.84,0,
2024,1,TOSI2,31.2,31.2,0.001,
2024,1,TPEA,59.98,59.98,0.001,
2024,1,TSUB,6.76,6.76,0.005,
2024,2,TCCO,33.06,33.06,0.003,
